ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
689	ProtoBurmish	cough	*ʔkjuŋH	ˀkjuŋ²	ˀk j u ŋ ²		808	ˀk j u ŋ ²	?ˀk ?j ?u ?ŋ ?²
690	Atsi	count (numbers)	ŋa̱p⁵⁵	ŋa̱p⁵⁵	ŋ a̱ p ⁵⁵		930	ŋ a̱ p ⁵⁵	ŋ a̱ p ⁵⁵
691	Bola	count (numbers)	ŋɛ̱ʔ⁵⁵	ŋɛ̱ʔ⁵⁵	ŋ ɛ̱ ʔ ⁵⁵		930	ŋ ɛ̱ ʔ ⁵⁵	ŋ ɛ̱ ʔ ⁵⁵
692	Lashi	count (numbers)	ŋa̱ːp⁵⁵	ŋa̱ːp⁵⁵	ŋ a̱ː p ⁵⁵		930	ŋ a̱ː p ⁵⁵	ŋ a̱ː p ⁵⁵
693	Maru	count (numbers)	ŋɛ̱ʔ⁵⁵	ŋɛ̱ʔ⁵⁵	ŋ ɛ̱ ʔ ⁵⁵		930	ŋ ɛ̱ ʔ ⁵⁵	ŋ ɛ̱ ʔ ⁵⁵
694	Maru	cover (the mouth)	tshuk⁵⁵	tshuk⁵⁵	tsʰ u k ⁵⁵		617	tsʰ u k ⁵⁵	tsʰ u k ⁵⁵
695	Bola	cover / hide from view	ka⁵⁵	ka⁵⁵	k a ⁵⁵		1104	k a ⁵⁵	k a ⁵⁵
696	Lashi	cover / hide from view	kɔː³¹	kɔː³¹	k ɔː ³¹		1105	k ɔː ³¹	k ɔː ³¹
697	Maru	cover / hide from view	kɔ³¹	kɔ³¹	k ɔ ³¹		137	k ɔ - ³¹	k ɔ ³¹
698	Xiandao	cover / hide from view	kɔŋ³¹	kɔŋ³¹	k ɔ ŋ ³¹		137	k ɔ ŋ ³¹	k ɔ ŋ ³¹
699	OldBurmese	cow	no₁ḥ maʔ	nUḥ+maʔ	n o₁/ʊ ḥ/⁵ + m a ʔ		2015 118	n o₁/ʊ ḥ/⁵ + m a ʔ -	n o₁/ʊ ḥ/⁵ + m a ʔ
700	Rangoon	cow	nwɑ⁵⁵ mɑ⁵³	nwɑ⁵⁵+mɑ⁵³	n w ɑ ⁵⁵ + m ɑ ⁵³		2016 119	n w ɑ ⁵⁵ + m - ɑ - ⁵³	n w ɑ ⁵⁵ + m ɑ ⁵³
701	AchangLongchuan	cow	n̥o³¹ tseŋ³⁵	n̥o³¹+tseŋ³⁵	n̥ o ³¹ + ts e ŋ ³⁵		2017 119	n̥ o ³¹ + - ts e ŋ ³⁵	n̥ o ³¹ + ts e ŋ ³⁵
702	Atsi	cow	nŏ²¹ mji̱⁵⁵	nŏ²¹+mji̱⁵⁵	n ŏ ²¹ + m j i̱ ⁵⁵		2018 119	n ŏ ²¹ + m j i̱ - ⁵⁵	n ŏ ²¹ + m j i̱ ⁵⁵
703	Bola	cow	nɔ̆³¹ taŋ⁵⁵	nɔ̆³¹+taŋ⁵⁵	n ɔ̆ ³¹ + t a ŋ ⁵⁵		2019 119	n ɔ̆ ³¹ + - t a ŋ ⁵⁵	n ɔ̆ ³¹ + t a ŋ ⁵⁵
704	Lashi	cow	nə̆³³ mji⁵³	nə̆³³+mji⁵³	n ə̆ ³³ + m j i ⁵³		2020 119	n ə̆ ³³ + m j i - ⁵³	n ə̆ ³³ + m j i ⁵³
705	Maru	cow	nŭŋ³⁵ tsaŋ³¹	nŭŋ³⁵+tsaŋ³¹	n ŭ ŋ ³⁵ + ts a ŋ ³¹		2021 119	n ŭ ŋ ³⁵ + - ts a ŋ ³¹	n ŭ ŋ ³⁵ + ts a ŋ ³¹
706	Xiandao	cow	no³¹ mɔ³¹	no³¹+mɔ³¹	n o ³¹ + m ɔ ³¹		2022 119	n o ³¹ + m - ɔ - ³¹	n o ³¹ + m ɔ ³¹
707	ProtoBurmish	cow	*dziŋ	dziŋ¹	dz i ŋ ¹		119	- dz i ŋ ¹	-|-|-|-|- dz|dz|dz|dz|dz a|a|a|i|i ŋ|ŋ|ŋ|ŋ|ŋ ³|³|³|³|¹
708	AchangLongchuan	cramped / narrow	n̥ap⁵⁵	n̥ap⁵⁵	n̥ a p ⁵⁵		835	n̥ a p ⁵⁵	n̥ a p ⁵⁵
709	Rangoon	cramped / narrow	tɕĩ⁵⁵ tɕɑʔ⁴	tɕĩ⁵⁵+tɕɑʔ⁴	tɕ ĩ ⁵⁵ + tɕ ɑ ʔ ⁴		3700 895	tɕ ĩ ⁵⁵ + tɕ ɑ ʔ ⁴	tɕ ĩ ⁵⁵ + tɕ ɑ ʔ ⁴
710	Atsi	cramped / narrow	tʃa̱p⁵⁵	tʃa̱p⁵⁵	tʃ a̱ p ⁵⁵		895	tʃ a̱ p ⁵⁵	tʃ a̱ p ⁵⁵
711	Bola	cramped / narrow	tʃɛ̱ʔ⁵⁵	tʃɛ̱ʔ⁵⁵	tʃ ɛ̱ ʔ ⁵⁵		641	tʃ ɛ̱ ʔ ⁵⁵	tʃ ɛ̱ ʔ ⁵⁵
712	Lashi	cramped / narrow	tʃiːn⁵⁵ tʃa̱p⁵⁵	tʃiːn⁵⁵+tʃa̱p⁵⁵	tʃ iː n ⁵⁵ + tʃ a̱ p ⁵⁵		3701 895	tʃ iː n ⁵⁵ + tʃ a̱ p ⁵⁵	tʃ iː n ⁵⁵ + tʃ a̱ p ⁵⁵
713	Maru	cramped / narrow	tʃɛ̱ʔ⁵⁵	tʃɛ̱ʔ⁵⁵	tʃ ɛ̱ ʔ ⁵⁵		641	tʃ ɛ̱ ʔ ⁵⁵	tʃ ɛ̱ ʔ ⁵⁵
714	ProtoBurmish	cramped / narrow	*ʔtʃap	ˀtʃap⁴	ˀtʃ a p ⁴		641	ˀtʃ a p ⁴	dʒ|dʒ|dʒ|ˀtʃ|ˀtʃ a|a|a|a|a p|p|p|p|p ⁴|⁴|⁴|⁴|⁴
715	ProtoBurmish	cramped / narrow	*ʔtʃat	ˀtʃat⁴	ˀtʃ a t ⁴		895	ˀtʃ a t ⁴	( ˀtʃ a t ⁴ )
716	AchangLongchuan	crawl (of insects)	so³¹	so³¹	s o ³¹		566	s o ³¹	s o ³¹
717	Xiandao	crawl (of insects)	so³¹	so³¹	s o ³¹		565	s o ³¹	s o ³¹
718	OldBurmese	crawl (of people)	to₁ḥ	tUḥ	t o₁/ʊ ḥ/⁵		79	t - o₁/ʊ - ḥ/⁵	t o₁/ʊ ḥ/⁵
719	Rangoon	crawl (of people)	twɑ⁵⁵ tθwɑ⁵⁵	twɑ⁵⁵+tθwɑ⁵⁵	t w ɑ ⁵⁵ + tθ w ɑ ⁵⁵		79 1891	t w ɑ - ⁵⁵ + tθ w ɑ ⁵⁵	t w ɑ ⁵⁵ + tθ w ɑ ⁵⁵
720	AchangLongchuan	crawl (of people)	to³¹	to³¹	t o ³¹		79	t - o - ³¹	t o ³¹
721	Atsi	crawl (of people)	to²¹	to²¹	t o ²¹		79	t - o - ²¹	t o ²¹
722	Bola	crawl (of people)	tɔ³¹	tɔ³¹	t ɔ ³¹		79	t - ɔ - ³¹	t ɔ ³¹
723	Lashi	crawl (of people)	tɔːʔ³¹	tɔːʔ³¹	t ɔː ʔ ³¹		79	t - ɔː ʔ ³¹	t ɔː ʔ ³¹
724	Maru	crawl (of people)	tu³⁵	tu³⁵	t u ³⁵		79	t - u - ³⁵	t u ³⁵
725	Xiandao	crawl (of people)	to³¹	to³¹	t o ³¹		79	t - o - ³¹	t o ³¹
726	ProtoBurmish	crawl (of people)	*doH	do²	d o ²		79	d - o - ²	( d o ² )
727	Atsi	crow	ŋŏ̱ʔ⁵⁵ noʔ²¹	ŋŏ̱ʔ⁵⁵+noʔ²¹	ŋ ŏ̱ ʔ ⁵⁵ + n o ʔ ²¹		2902 1404	ŋ ŏ̱ ʔ ⁵⁵ + n o ʔ ²¹	ŋ ŏ̱ ʔ ⁵⁵ + n o ʔ ²¹
728	Bola	crow	kə̆³¹ naʔ³¹	kə̆³¹+naʔ³¹	k ə̆ ³¹ + n a ʔ ³¹		2903 1405	k ə̆ ³¹ + n a ʔ ³¹	k ə̆ ³¹ + n a ʔ ³¹
729	Lashi	crow	ŋɔ̱̆ʔ⁵⁵ nɔʔ³¹	ŋɔ̱̆ʔ⁵⁵+nɔʔ³¹	ŋ ɔ̱̆ ʔ ⁵⁵ + n ɔ ʔ ³¹		2904 1406	ŋ ɔ̱̆ ʔ ⁵⁵ + n ɔ ʔ ³¹	ŋ ɔ̱̆ ʔ ⁵⁵ + n ɔ ʔ ³¹
730	Maru	crow	kəʔ³¹ nɔʔ³¹	kəʔ³¹+nɔʔ³¹	k ə ʔ ³¹ + n ɔ ʔ ³¹		2905 1407	k ə ʔ ³¹ + n ɔ ʔ ³¹	k ə ʔ ³¹ + n ɔ ʔ ³¹
731	Maru	crow (of hens)	mjaŋ³¹	mjaŋ³¹	m j a ŋ ³¹		459	m j a ŋ ³¹	m j a ŋ ³¹
732	Bola	crush to pieces	la̱ʔ⁵⁵ tʃɛʔ³¹	la̱ʔ⁵⁵+tʃɛʔ³¹	l a̱ ʔ ⁵⁵ + tʃ ɛ ʔ ³¹		822 3541	l a̱ ʔ ⁵⁵ + tʃ ɛ ʔ ³¹	l a̱ ʔ ⁵⁵ + tʃ ɛ ʔ ³¹
733	OldBurmese	cry	ṅuiw	ṅui̯	ṅ/ŋ ui̯		693	ṅ/ŋ ui̯ - -	ṅ/ŋ ui̯
734	Rangoon	cry	ŋo²²	ŋo²²	ŋ o ²²		693	ŋ o - ²²	ŋ o ²²
735	AchangLongchuan	cry	ŋau⁵⁵	ŋau⁵⁵	ŋ au ⁵⁵		693	ŋ au - ⁵⁵	ŋ au ⁵⁵
736	Atsi	cry	ŋau⁵¹	ŋau⁵¹	ŋ au ⁵¹		693	ŋ au - ⁵¹	ŋ au ⁵¹
737	Bola	cry	ŋau⁵⁵	ŋau⁵⁵	ŋ au ⁵⁵		693	ŋ au - ⁵⁵	ŋ au ⁵⁵
738	Lashi	cry	ŋaːu³¹	ŋaːu³¹	ŋ aːu ³¹		693	ŋ aːu - ³¹	ŋ aːu ³¹
739	Maru	cry	ŋuk³¹	ŋuk³¹	ŋ u k ³¹		693	ŋ u k ³¹	ŋ u k ³¹
740	Xiandao	cry	ŋau⁵⁵	ŋau⁵⁵	ŋ au ⁵⁵		693	ŋ au - ⁵⁵	ŋ au ⁵⁵
741	ProtoBurmish	cry	*ŋu	ŋu¹	ŋ u ¹		693	ŋ u - ¹	( ŋ u ¹ )
742	AchangLongchuan	cry / chirp (of birds)	mʐəŋ⁵⁵	mʐəŋ⁵⁵	m ʐ ə ŋ ⁵⁵		459	m ʐ ə ŋ ⁵⁵	m ʐ ə ŋ ⁵⁵
743	Atsi	cry / chirp (of birds)	mjiŋ⁵¹	mjiŋ⁵¹	m j i ŋ ⁵¹		459	m j i ŋ ⁵¹	m j i ŋ ⁵¹
744	Bola	cry / chirp (of birds)	mjaŋ⁵⁵	mjaŋ⁵⁵	m j a ŋ ⁵⁵		460	m j a ŋ ⁵⁵	m j a ŋ ⁵⁵
745	Lashi	cry / chirp (of birds)	mjəːŋ³¹	mjəːŋ³¹	m j əː ŋ ³¹		459	m j əː ŋ ³¹	m j əː ŋ ³¹
746	Maru	cry / chirp (of birds)	mjaŋ³¹	mjaŋ³¹	m j a ŋ ³¹		459	m j a ŋ ³¹	m j a ŋ ³¹
747	Xiandao	cry / chirp (of birds)	mɯŋ⁵⁵	mɯŋ⁵⁵	m ɯ ŋ ⁵⁵		459	m - ɯ ŋ ⁵⁵	m ɯ ŋ ⁵⁵
748	Rangoon	cucumber	tθɑ⁵³ khwɑ⁵⁵ tθi⁵⁵	tθɑ⁵³+khwɑ⁵⁵+tθi⁵⁵	tθ ɑ ⁵³ + kʰ w ɑ ⁵⁵ + tθ i ⁵⁵		2418 312 2419	tθ ɑ ⁵³ + kʰ w ɑ ⁵⁵ + tθ i ⁵⁵	tθ ɑ ⁵³ + kʰ w ɑ ⁵⁵ + tθ i ⁵⁵
749	AchangLongchuan	cucumber	tiaŋ³¹ xo³¹	tiaŋ³¹+xo³¹	t ia ŋ ³¹ + x o ³¹		2420 312	t ia ŋ ³¹ + x - o ³¹	t ia ŋ ³¹ + x o ³¹
750	Atsi	cucumber	tuŋ⁵¹ kho²¹	tuŋ⁵¹+kho²¹	t u ŋ ⁵¹ + kʰ o ²¹		2421 312	t u ŋ ⁵¹ + kʰ - o ²¹	t u ŋ ⁵¹ + kʰ o ²¹
751	Bola	cucumber	taŋ⁵⁵ khɔ³¹	taŋ⁵⁵+khɔ³¹	t a ŋ ⁵⁵ + kʰ ɔ ³¹		2422 312	t a ŋ ⁵⁵ + kʰ - ɔ ³¹	t a ŋ ⁵⁵ + kʰ ɔ ³¹
752	Lashi	cucumber	tu̱ŋ³¹ khɔ⁵⁵	tu̱ŋ³¹+khɔ⁵⁵	t u̱ ŋ ³¹ + kʰ ɔ ⁵⁵		2423 312	t u̱ ŋ ³¹ + kʰ - ɔ ⁵⁵	t u̱ ŋ ³¹ + kʰ ɔ ⁵⁵
753	Maru	cucumber	lə̆³¹ khu³⁵	lə̆³¹+khu³⁵	l ə̆ ³¹ + kʰ u ³⁵		2424 312	l ə̆ ³¹ + kʰ - u ³⁵	l ə̆ ³¹ + kʰ u ³⁵
754	Xiandao	cucumber	choŋ³¹ xo³¹	choŋ³¹+xo³¹	ch/tʃʰ o ŋ ³¹ + x o ³¹		2425 312	ch/tʃʰ o ŋ ³¹ + x - o ³¹	ch/tʃʰ o ŋ ³¹ + x o ³¹
755	ProtoBurmish	cucumber	*koH	ko²	k o ²		312	k - o ²	( k o ² )
756	Maru	cuddle / embrace	pɔ̱³¹ tsaŋ³¹	pɔ̱³¹+tsaŋ³¹	p ɔ̱ ³¹ + ts a ŋ ³¹		844 119	p ɔ̱ ³¹ + - ts a ŋ ³¹	p ɔ̱ ³¹ + ts a ŋ ³¹
757	Atsi	cuddle / embrace	po̱⁵¹	po̱⁵¹	p o̱ ⁵¹		844	p o̱ ⁵¹	p o̱ ⁵¹
758	Bola	cuddle / embrace	pa̱⁵⁵	pa̱⁵⁵	p a̱ ⁵⁵		844	p a̱ ⁵⁵	p a̱ ⁵⁵
759	Lashi	cuddle / embrace	pɔ̱ː³³	pɔ̱ː³³	p ɔ̱ː ³³		844	p ɔ̱ː ³³	p ɔ̱ː ³³
760	Atsi	cut / rip open	khoʔ⁵⁵	khoʔ⁵⁵	kʰ o ʔ ⁵⁵		1216	kʰ o ʔ ⁵⁵	kʰ o ʔ ⁵⁵
761	Lashi	cut / rip open	khɔːʔ⁵⁵	khɔːʔ⁵⁵	kʰ ɔː ʔ ⁵⁵		1217	kʰ ɔː ʔ ⁵⁵	kʰ ɔː ʔ ⁵⁵
762	Maru	cut / rip open	khɔʔ⁵⁵	khɔʔ⁵⁵	kʰ ɔ ʔ ⁵⁵		247	kʰ ɔ ʔ ⁵⁵	kʰ ɔ ʔ ⁵⁵
763	ProtoBurmish	cut / rip open	*kak	kak⁴	k a k ⁴		247	k a k ⁴	( k a k ⁴ )
764	Bola	cut up (vegetable)	nai⁵⁵	nai⁵⁵	n ai ⁵⁵		487	n - ai ⁵⁵	n ai ⁵⁵
765	Bola	dance	mə̆³¹ khɔn⁵⁵ ka⁵⁵	mə̆³¹+khɔn⁵⁵+ka⁵⁵	m ə̆ ³¹ + kʰ ɔ n ⁵⁵ + k a ⁵⁵		2051 2052 1106	m ə̆ ³¹ + kʰ ɔ n ⁵⁵ + k a ⁵⁵	m ə̆ ³¹ + kʰ ɔ n ⁵⁵ + k a ⁵⁵
766	Bola	danger	saŋ³⁵ kha³¹ saŋ³⁵ lɛ̱ʔ⁵⁵	saŋ³⁵+kha³¹+saŋ³⁵+lɛ̱ʔ⁵⁵	s a ŋ ³⁵ + kʰ a ³¹ + s a ŋ ³⁵ + l ɛ̱ ʔ ⁵⁵		3454 785 3455 1607	s a ŋ ³⁵ + kʰ a ³¹ + s a ŋ ³⁵ + l ɛ̱ ʔ ⁵⁵	s a ŋ ³⁵ + kʰ a ³¹ + s a ŋ ³⁵ + l ɛ̱ ʔ ⁵⁵
767	Bola	dare	vɛ̃³⁵	vɛ̃³⁵	v ɛ̃ ³⁵		656	v ɛ̃ - ³⁵	v ɛ̃ ³⁵
768	Lashi	dare	wuːm⁵⁵	wuːm⁵⁵	w uː m ⁵⁵		656	w uː m ⁵⁵	w uː m ⁵⁵
769	Maru	dare	vɛ̃⁵⁵	vɛ̃⁵⁵	v ɛ̃ ⁵⁵		656	v ɛ̃ - ⁵⁵	v ɛ̃ ⁵⁵
770	ProtoBurmish	dare	*wamX	wam³	w a m ³		656	w a m ³	( w a m ³ )
771	Atsi	dark	noʔ²¹	noʔ²¹	n o ʔ ²¹		468	n o ʔ ²¹	n o ʔ ²¹
772	Bola	dark	naʔ³¹	naʔ³¹	n a ʔ ³¹		468	n a ʔ ³¹	n a ʔ ³¹
773	Maru	dark	nɔʔ³¹	nɔʔ³¹	n ɔ ʔ ³¹		468	n ɔ ʔ ³¹	n ɔ ʔ ³¹
774	Atsi	daughter	mji²¹ ve²¹ tso²¹	mji²¹+ve²¹+tso²¹	m j i ²¹ + v e ²¹ + ts o ²¹		394 1372 2705	m j i - ²¹ + v e ²¹ + ts o ²¹	m j i ²¹ + v e ²¹ + ts o ²¹
775	Lashi	daughter	mji³³ tso³³	mji³³+tso³³	m j i ³³ + ts o ³³		394 2706	m j i - ³³ + ts o ³³	m j i ³³ + ts o ³³
776	Xiandao	daughter	ji³¹ ɲɔ³¹ tsɔ³¹	ji³¹+ɲɔ³¹+tsɔ³¹	j i ³¹ + ɲ ɔ ³¹ + ts ɔ ³¹		394 2707 2708	- j i - ³¹ + ɲ ɔ ³¹ + ts ɔ ³¹	j i ³¹ + ɲ ɔ ³¹ + ts ɔ ³¹
777	Atsi	dawn (the day)	mau²¹ po⁵⁵	mau²¹+po⁵⁵	m au ²¹ + p o ⁵⁵		1692 938	m au ²¹ + p o ⁵⁵	m au ²¹ + p o ⁵⁵
778	Bola	dawn (the day)	mau³¹ pa³⁵	mau³¹+pa³⁵	m au ³¹ + p a ³⁵		1693 939	m au ³¹ + p a ³⁵	m au ³¹ + p a ³⁵
779	Maru	dawn (the day)	mjɔʔ³¹ mjɔ̃³¹	mjɔʔ³¹+mjɔ̃³¹	m j ɔ ʔ ³¹ + m j ɔ̃ ³¹		438 2776	m j ɔ ʔ ³¹ + m j ɔ̃ ³¹	m j ɔ ʔ ³¹ + m j ɔ̃ ³¹
780	Maru	day (first of lunar month)	nɔ³¹ mɔ⁵⁵	nɔ³¹+mɔ⁵⁵	n ɔ ³¹ + m ɔ ⁵⁵		466 118	n ɔ ³¹ + m ɔ - ⁵⁵	n ɔ ³¹ + m ɔ ⁵⁵
781	Rangoon	day (first of lunar month)	lɑ⁵³ shɑ̃⁵⁵ tiʔ⁴ jɛʔ⁴ ne⁵³	lɑ⁵³+shɑ̃⁵⁵+tiʔ⁴+jɛʔ⁴+ne⁵³	l ɑ ⁵³ + sʰ ɑ̃ ⁵⁵ + t i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³		438 2777 2778 2779 2780	- l ɑ - ⁵³ + sʰ ɑ̃ ⁵⁵ + t i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³	l ɑ ⁵³ + sʰ ɑ̃ ⁵⁵ + t i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³
782	Atsi	day (first of lunar month)	lă²¹ sik⁵⁵ lă²¹	lă²¹+sik⁵⁵+lă²¹	l ă ²¹ + s i k ⁵⁵ + l ă ²¹		438 2781 2782	- l ă - ²¹ + s i k ⁵⁵ + l ă ²¹	l ă ²¹ + s i k ⁵⁵ + l ă ²¹
783	Lashi	day (first of lunar month)	lə̆⁵⁵ tshan⁵⁵ ta³¹ ŋjei⁵⁵	lə̆⁵⁵+tshan⁵⁵+ta³¹+ŋjei⁵⁵	l ə̆ ⁵⁵ + tsʰ a n ⁵⁵ + t a ³¹ + ŋ j ei ⁵⁵		438 2783 2784 2785	- l ə̆ - ⁵⁵ + tsʰ a n ⁵⁵ + t a ³¹ + ŋ j ei ⁵⁵	l ə̆ ⁵⁵ + tsʰ a n ⁵⁵ + t a ³¹ + ŋ j ei ⁵⁵
784	Rangoon	day (second of lunar month)	lɑ⁵³ shɑ̃⁵⁵ n̥iʔ⁴ jɛʔ⁴ ne⁵³	lɑ⁵³+shɑ̃⁵⁵+n̥iʔ⁴+jɛʔ⁴+ne⁵³	l ɑ ⁵³ + sʰ ɑ̃ ⁵⁵ + n̥ i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³		1952 93 1072 1953 1954	l ɑ ⁵³ + - sʰ ɑ̃ - ⁵⁵ + n̥ i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³	l ɑ ⁵³ + sʰ ɑ̃ ⁵⁵ + n̥ i ʔ ⁴ + j ɛ ʔ ⁴ + n e ⁵³
785	Atsi	day (second of lunar month)	lă²¹ sik⁵⁵ i⁵⁵	lă²¹+sik⁵⁵+i⁵⁵	l ă ²¹ + s i k ⁵⁵ + i ⁵⁵		1955 93 1956	l ă ²¹ + - s i k ⁵⁵ + i ⁵⁵	l ă ²¹ + s i k ⁵⁵ + i ⁵⁵
786	Lashi	day (second of lunar month)	lə̆⁵⁵ ləŋ⁵⁵	lə̆⁵⁵+ləŋ⁵⁵	l ə̆ ⁵⁵ + l ə ŋ ⁵⁵		1957 93	l ə̆ ⁵⁵ + - l ə ŋ ⁵⁵	l ə̆ ⁵⁵ + l ə ŋ ⁵⁵
787	Maru	day (second of lunar month)	nɔ³¹ tsɔ³⁵	nɔ³¹+tsɔ³⁵	n ɔ ³¹ + ts ɔ ³⁵		93 1073	- n ɔ - ³¹ + ts ɔ ³⁵	n ɔ ³¹ + ts ɔ ³⁵
788	Xiandao	day (second of lunar month)	van⁵⁵ sɔŋ³⁵	van⁵⁵+sɔŋ³⁵	v a n ⁵⁵ + s ɔ ŋ ³⁵		1958 93	v a n ⁵⁵ + - s ɔ ŋ ³⁵	v a n ⁵⁵ + s ɔ ŋ ³⁵
789	Bola	day (second of lunar month)	i̱³⁵ nɛʔ³¹	i̱³⁵+nɛʔ³¹	i̱ ³⁵ + n ɛ ʔ ³¹		2975 1435	i̱ ³⁵ + n ɛ ʔ ³¹	i̱ ³⁵ + n ɛ ʔ ³¹
790	OldBurmese	day (time)	niyʔ	nijʔ	n i j ʔ		490	n - i j ʔ -	n i j ʔ
791	Rangoon	day (time)	ne⁵³ khĩ⁵⁵	ne⁵³+khĩ⁵⁵	n e ⁵³ + kʰ ĩ ⁵⁵		490 3009	n - e - - ⁵³ + kʰ ĩ ⁵⁵	n e ⁵³ + kʰ ĩ ⁵⁵
792	AchangLongchuan	day (time)	niʔ³¹	niʔ³¹	n i ʔ ³¹		490	n - i - ʔ ³¹	n i ʔ ³¹
793	Atsi	day (time)	ŋji⁵⁵ khjui⁵⁵	ŋji⁵⁵+khjui⁵⁵	ŋ j i ⁵⁵ + kʰ j ui ⁵⁵		490 3010	ŋ j i - - ⁵⁵ + kʰ j ui ⁵⁵	ŋ j i ⁵⁵ + kʰ j ui ⁵⁵
794	Bola	day (time)	ŋji³⁵ kauŋ³¹	ŋji³⁵+kauŋ³¹	ŋ j i ³⁵ + k au ŋ ³¹		491 3011	ŋ j i ³⁵ + k au ŋ ³¹	ŋ j i ³⁵ + k au ŋ ³¹
795	Lashi	day (time)	ŋjei⁵⁵ kuŋ³¹	ŋjei⁵⁵+kuŋ³¹	ŋ j ei ⁵⁵ + k u ŋ ³¹		490 3012	ŋ j ei - - ⁵⁵ + k u ŋ ³¹	ŋ j ei ⁵⁵ + k u ŋ ³¹
796	Maru	day (time)	na⁵⁵	na⁵⁵	n a ⁵⁵		490	n - a - - ⁵⁵	n a ⁵⁵
797	Xiandao	day (time)	nai³⁵ tsin³⁵	nai³⁵+tsin³⁵	n ai ³⁵ + ts i n ³⁵		490 3013	n - ai - - ³⁵ + ts i n ³⁵	n ai ³⁵ + ts i n ³⁵
798	ProtoBurmish	day (time)	*niX	ni³	n i ³		490	n - i - - ³	( n i ³ )
799	ProtoBurmish	day (time)	*ŋjiX	ŋji³	ŋ j i ³		491	ŋ j i ³	?ŋ ?j ?i ?³
800	AchangLongchuan	day after tomorrow	phă⁵⁵ ȵen³¹	phă⁵⁵+ȵen³¹	pʰ ă ⁵⁵ + ȵ e n ³¹		2963 477	pʰ ă ⁵⁵ + ȵ - e n ³¹	pʰ ă ⁵⁵ + ȵ e n ³¹
801	Atsi	day after tomorrow	saŋ⁵¹ phe²¹ nap²¹	saŋ⁵¹+phe²¹+nap²¹	s a ŋ ⁵¹ + pʰ e ²¹ + n a p ²¹		2964 2965 1432	s a ŋ ⁵¹ + pʰ e ²¹ + n a p ²¹	s a ŋ ⁵¹ + pʰ e ²¹ + n a p ²¹
802	Bola	day after tomorrow	sɔ⁵⁵ pha⁵⁵ nɛʔ³¹	sɔ⁵⁵+pha⁵⁵+nɛʔ³¹	s ɔ ⁵⁵ + pʰ a ⁵⁵ + n ɛ ʔ ³¹		2966 2967 1433	s ɔ ⁵⁵ + pʰ a ⁵⁵ + n ɛ ʔ ³¹	s ɔ ⁵⁵ + pʰ a ⁵⁵ + n ɛ ʔ ³¹
803	Lashi	day after tomorrow	sa̱ŋ³³ phə̆⁵⁵ nəp³¹ ŋjei⁵⁵	sa̱ŋ³³+phə̆⁵⁵+nəp³¹+ŋjei⁵⁵	s a̱ ŋ ³³ + pʰ ə̆ ⁵⁵ + n ə p ³¹ + ŋ j ei ⁵⁵		2968 2969 1434 2970	s a̱ ŋ ³³ + pʰ ə̆ ⁵⁵ + n ə p ³¹ + ŋ j ei ⁵⁵	s a̱ ŋ ³³ + pʰ ə̆ ⁵⁵ + n ə p ³¹ + ŋ j ei ⁵⁵
804	Maru	day after tomorrow	sɔ̃³¹ phɔ⁵⁵ nɛʔ³¹	sɔ̃³¹+phɔ⁵⁵+nɛʔ³¹	s ɔ̃ ³¹ + pʰ ɔ ⁵⁵ + n ɛ ʔ ³¹		546 2971 477	s ɔ̃ - ³¹ + pʰ ɔ ⁵⁵ + n - ɛ ʔ ³¹	s ɔ̃ ³¹ + pʰ ɔ ⁵⁵ + n ɛ ʔ ³¹
805	Xiandao	day after tomorrow	n̥a³¹ ʐɔ⁵⁵ a³¹ pun³¹	n̥a³¹+ʐɔ⁵⁵+a³¹+pun³¹	n̥ a ³¹ + ʐ ɔ ⁵⁵ + a ³¹ + p u n ³¹		477 2972 2973 2974	n̥ - a - ³¹ + ʐ ɔ ⁵⁵ + a ³¹ + p u n ³¹	n̥ a ³¹ + ʐ ɔ ⁵⁵ + a ³¹ + p u n ³¹
806	Rangoon	day before yesterday	tɑ⁵³ ne⁵³ kɑ	tɑ⁵³+ne⁵³+kɑ	t ɑ ⁵³ + n e ⁵³ + k ɑ		2986 1440 2987	t ɑ ⁵³ + n e ⁵³ + k ɑ	t ɑ ⁵³ + n e ⁵³ + k ɑ
807	AchangLongchuan	day before yesterday	si³¹ ȵen³¹	si³¹+ȵen³¹	s i ³¹ + ȵ e n ³¹		2988 477	s i ³¹ + ȵ - e n ³¹	s i ³¹ + ȵ e n ³¹
808	Atsi	day before yesterday	xu⁵⁵ va⁵¹ ŋji⁵⁵	xu⁵⁵+va⁵¹+ŋji⁵⁵	x u ⁵⁵ + v a ⁵¹ + ŋ j i ⁵⁵		2989 2990 1441	x u ⁵⁵ + v a ⁵¹ + ŋ j i ⁵⁵	x u ⁵⁵ + v a ⁵¹ + ŋ j i ⁵⁵
